sampleId	Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	N50	N75	L50	L75	# N's per 100 kbp
ERR1904032	ERR1904032.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	110	48	31	28	24	17	2842316	2814337	2783725	2762382	2674635	2420147	61	486031	2823573	135238	61770	5	12	0.00
ERR1904033	ERR1904033.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	124	46	32	28	24	17	2848156	2815470	2788592	2762013	2674038	2420438	57	486020	2823086	134690	61748	5	12	0.00
ERR1904034	ERR1904034.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	110	47	30	27	23	18	2845512	2816819	2784494	2763180	2675859	2497427	58	485938	2824900	135873	76598	5	12	0.00
ERR1904035	ERR1904035.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	113	48	34	30	26	18	2843319	2815377	2790407	2762539	2674770	2393325	59	393185	2822804	135617	60351	6	14	0.00
ERR1904036	ERR1904036.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	112	46	32	29	25	17	2845405	2815977	2786517	2764883	2677131	2376742	57	486382	2823980	135238	60351	5	13	0.00
ERR1904037	ERR1904037.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	94	53	41	31	27	19	2823818	2803082	2780536	2707402	2627162	2341676	68	450194	2814114	125457	60911	7	16	0.00
ERR1904038	ERR1904038.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	93	66	46	42	30	21	2804925	2789536	2732607	2701369	2512928	2186980	80	288527	2799876	77777	51985	9	20	0.00
ERR1904039	ERR1904039.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	83	48	37	30	24	15	2819478	2801483	2777600	2727548	2619154	2296323	61	476309	2811062	151130	76589	6	12	0.00
ERR1904040	ERR1904040.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	69	44	35	29	25	20	2816574	2803248	2784980	2743820	2669872	2492505	53	340115	2810410	148832	74207	7	14	0.00
ERR1904041	ERR1904041.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	72	43	33	28	24	18	2819830	2805201	2785040	2750117	2676141	2465663	52	476309	2812358	151130	74212	6	13	0.00
ERR1904042	ERR1904042.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	52	24	22	21	18	15	2680487	2669307	2664770	2657611	2605345	2493283	26	437439	2670756	170371	98849	5	9	0.00
ERR1904043	ERR1904043.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	72	26	21	20	17	15	2689608	2672369	2664140	2658987	2606715	2538948	28	437439	2673596	251936	96970	4	9	0.00
ERR1904044	ERR1904044.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	106	25	22	20	16	12	2704106	2672098	2666152	2651401	2582059	2435921	30	437439	2675629	251841	140728	4	8	0.00
ERR1904045	ERR1904045.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	126	26	24	22	19	14	2710520	2670611	2665912	2649050	2595996	2415567	34	437439	2676322	181448	114985	5	9	0.00
ERR1904046	ERR1904046.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	36	31	26	24	21	17	2674042	2671335	2659747	2645007	2593179	2440696	33	364836	2672853	166874	96875	6	11	0.00
ERR1904047	ERR1904047.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	74	42	31	27	22	19	2816937	2800937	2774604	2750888	2664280	2566707	53	425021	2809162	175071	87668	6	12	0.00
ERR1904048	ERR1904048.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	74	42	29	25	20	18	2820900	2804976	2776137	2752274	2665041	2595060	52	423896	2812703	175102	87340	5	11	0.00
ERR1904049	ERR1904049.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	71	43	30	26	22	18	2816845	2803255	2774755	2750859	2688893	2567100	52	425949	2809769	175195	87412	5	11	0.00
ERR1904050	ERR1904050.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	74	46	30	26	21	18	2819001	2805131	2769447	2745618	2658891	2562369	55	423891	2811516	175664	87266	5	11	0.00
ERR1904051	ERR1904051.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	215	45	30	26	21	18	2874401	2805099	2773135	2749354	2662786	2565984	61	423995	2815899	175661	87707	5	11	0.00
ERR1904052	ERR1904052.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	117	85	57	48	35	20	2835986	2818563	2750791	2683170	2467676	1925492	101	253167	2830237	71363	38605	12	25	0.00
ERR1904053	ERR1904053.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	65	44	34	32	25	17	2839869	2829251	2809180	2796721	2671270	2374289	51	424393	2834501	151130	61956	7	13	0.00
ERR1904054	ERR1904054.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	120	44	32	30	24	18	2869955	2836156	2813092	2800446	2695344	2461153	56	424648	2845671	150690	62948	7	13	0.00
ERR1904055	ERR1904055.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	79	42	32	30	24	19	2849787	2831894	2811325	2798534	2693642	2513558	52	424501	2839685	151166	63749	7	13	0.00
ERR1904056	ERR1904056.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	83	47	36	33	27	19	2845303	2826852	2804782	2784849	2679065	2370585	61	424449	2837155	137623	57950	7	15	0.00
ERR1904057	ERR1904057.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	55	40	30	28	22	19	2852280	2843610	2821106	2808318	2708385	2599896	47	426356	2849309	170777	82565	6	12	0.00
ERR1904058	ERR1904058.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	54	39	31	29	23	19	2851010	2842547	2821674	2808848	2710057	2573310	45	476195	2847485	151133	76335	6	12	0.00
ERR1904059	ERR1904059.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	98	26	22	21	19	14	2737370	2708100	2702527	2692643	2651383	2467954	32	334982	2712180	191028	147939	5	9	0.00
ERR1904060	ERR1904060.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	56	39	31	29	23	19	2848338	2838663	2819409	2806797	2707405	2572022	46	423368	2844538	170947	76318	6	12	0.00
ERR1904061	ERR1904061.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	98	38	30	28	22	18	2868578	2842504	2822361	2809717	2698099	2550512	45	476489	2848007	151505	82649	6	12	0.00
ERR1904062	ERR1904062.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	18	15	15	14	10	2811974	2800257	2792964	2792964	2772228	2603734	23	855965	2803825	703661	134084	2	6	0.00
ERR1904063	ERR1904063.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	36	20	17	17	15	12	2807517	2800407	2793668	2793668	2755132	2631617	23	736378	2802562	706393	129871	2	6	0.00
ERR1904064	ERR1904064.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	27	17	14	14	13	11	2806375	2801686	2794204	2794204	2773451	2690834	19	736378	2803407	315893	145728	3	6	0.00
ERR1904065	ERR1904065.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	43	22	19	19	18	15	2809150	2800453	2793013	2793013	2772277	2639060	24	686677	2802023	175152	108244	4	9	0.00
ERR1904066	ERR1904066.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	19	15	15	14	11	2808139	2799816	2788516	2788516	2767787	2637799	22	686919	2801952	330193	169687	3	7	0.00
SRR2053831	SRR2053831.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	24	21	20	19	17	14	2671444	2670361	2666548	2661107	2615585	2520490	21	563242	2670361	249804	148208	4	8	0.41
SRR2053833	SRR2053833.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	24	22	20	19	17	12	2673423	2672412	2668017	2662632	2617527	2460643	23	428864	2672980	309931	149663	4	7	0.41
SRR2053834	SRR2053834.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	3208	276	41	31	24	13	4415084	3235769	2891342	2823842	2697201	2265817	1062	535139	3771831	124261	9410	8	32	1.43
SRR2053835	SRR2053835.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	47	39	30	25	22	14	2764722	2760403	2737335	2703569	2641465	2351364	43	338550	2763019	174850	119058	5	10	0.43
SRR2053837	SRR2053837.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	43	34	31	29	26	17	2782288	2778839	2770694	2758179	2705942	2330902	35	343177	2779611	146372	67618	7	13	0.43
SRR2053839	SRR2053839.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	28	23	21	18	12	2856324	2854953	2845455	2832966	2779725	2567214	28	580304	2854953	300651	169078	4	7	0.35
SRR2053840	SRR2053840.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	17	13	12	12	9	2747413	2734400	2726833	2721374	2721374	2596460	24	1141508	2739420	476492	130643	2	4	0.26
SRR2053841	SRR2053841.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	28	21	21	20	17	13	2707605	2704944	2704944	2699503	2639117	2511548	21	519816	2704944	252000	118613	4	8	0.59
SRR2053847	SRR2053847.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	33	28	26	24	18	2881374	2878229	2865823	2855147	2812355	2615444	36	421969	2880530	151009	78790	6	11	0.62
SRR2053850	SRR2053850.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	20	18	17	16	13	8	2783714	2783068	2781909	2776443	2724024	2540328	18	935905	2783068	811327	158991	2	4	0.54
SRR2053854	SRR2053854.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	26	24	23	20	14	2680899	2674466	2668917	2663476	2598704	2363186	31	436988	2678380	175249	87211	5	10	0.52
SRR2053855	SRR2053855.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	38	33	31	26	20	2826126	2822197	2811102	2797102	2699988	2458290	43	342270	2825369	114643	81239	8	15	0.53
SRR2053858	SRR2053858.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	47	34	29	25	21	15	2777650	2771647	2759920	2733525	2658285	2458948	38	421993	2774367	174946	115791	6	10	0.32
SRR2053859	SRR2053859.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	12	8	8	7	7	5	2737662	2736114	2736114	2730663	2730663	2658960	9	1590151	2736638	1590151	515707	1	2	0.37
SRR2053863	SRR2053863.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	41	37	34	32	27	18	2786307	2784108	2774718	2762159	2674165	2331822	39	434493	2785442	123357	66915	7	14	0.50
SRR2053864	SRR2053864.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	46	21	17	14	13	10	2803124	2792435	2782525	2762851	2741855	2641503	27	709914	2795775	347400	172952	3	6	0.29
SRR2053866	SRR2053866.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	41	26	25	24	21	15	2766699	2759345	2755186	2749801	2687549	2467073	31	384131	2763005	193291	91219	5	11	0.40
SRR2053868	SRR2053868.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	54	47	32	27	23	19	2935404	2930840	2889017	2860129	2781890	2654990	52	300485	2934673	153744	78744	7	13	1.02
SRR2053873	SRR2053873.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	39	33	31	29	24	18	2823680	2821369	2816336	2803699	2714757	2489060	34	346750	2821902	128408	94609	7	13	0.53
SRR2053874	SRR2053874.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	49	41	35	29	22	17	2846710	2841547	2825724	2786301	2673565	2508181	47	414435	2845897	151923	78714	6	12	1.12
SRR2053877	SRR2053877.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	183	54	37	32	26	18	2925184	2860098	2830452	2797799	2697661	2424773	111	419604	2897356	142259	60293	7	14	0.24
SRR2053880	SRR2053880.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	37	32	30	26	20	14	2786083	2783476	2778570	2753845	2645185	2429711	34	468555	2784802	208511	103199	4	9	0.65
SRR2053884	SRR2053884.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	39	34	31	27	23	19	2818857	2816459	2808855	2783381	2710158	2568458	35	417723	2817168	164504	84029	7	12	1.35
SRR2053885	SRR2053885.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	54	47	42	35	22	17	2951244	2946983	2936000	2890004	2692255	2518198	50	574252	2949506	145376	65556	5	12	1.36
SRR2053886	SRR2053886.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	148	53	41	33	24	18	2993707	2950644	2926395	2865996	2717274	2512386	78	497309	2967177	150292	60225	6	13	1.62
SRR2053887	SRR2053887.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	42	35	30	27	22	16	2887681	2884312	2872006	2855480	2765048	2559743	38	540227	2886234	170725	78794	5	10	0.69
SRR2053889	SRR2053889.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	33	31	29	25	18	2771992	2769923	2764122	2750898	2682877	2448483	34	432696	2770569	132425	75388	5	12	0.51
SRR2053890	SRR2053890.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	31	29	25	22	16	2767058	2766243	2760831	2734285	2673693	2463470	31	421712	2766243	166574	100059	6	11	0.36
SRR2053891	SRR2053891.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	22	21	18	17	15	13	2712778	2712070	2705073	2699632	2654869	2580302	22	694698	2712778	268301	120599	4	7	0.48
SRR2053892	SRR2053892.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	16	13	11	10	9	8	2748581	2747281	2741905	2736464	2715716	2682861	14	612403	2747926	516794	272656	3	5	0.29
SRR2053893	SRR2053893.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	45	34	31	29	24	17	2907653	2901872	2894561	2883883	2793499	2557452	39	506649	2905364	152401	78742	6	11	0.72
SRR2053894	SRR2053894.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	247	112	35	32	28	18	3013308	2933565	2788309	2767761	2707655	2329611	201	343351	2995478	124195	60184	9	17	1.57
SRR2053896	SRR2053896.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	37	35	32	29	25	17	2879307	2878011	2867736	2850061	2764135	2481504	36	423509	2878961	165145	70585	6	12	1.01
SRR2053897	SRR2053897.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	42	37	31	28	25	19	2904925	2902991	2887332	2869150	2811665	2619923	37	421880	2902991	151858	78714	7	12	0.52
SRR2053899	SRR2053899.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	17	15	14	13	12	9	2742181	2741273	2739542	2734101	2713370	2611839	16	785286	2741835	660220	170118	2	5	0.15
SRR2053901	SRR2053901.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	72	41	32	28	23	17	2880133	2867194	2844631	2819056	2726816	2513280	48	434096	2871609	150911	78714	6	12	0.70
SRR2053902	SRR2053902.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	93	36	31	30	28	19	2806787	2783874	2772524	2767083	2733899	2358758	43	351654	2788679	128461	56880	7	15	0.61
SRR2053904	SRR2053904.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	2771	84	31	27	22	15	3892923	2890288	2817755	2792604	2698148	2428421	614	416016	3236127	159722	54599	7	15	0.90
SRR2053905	SRR2053905.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	41	35	32	31	25	19	2763345	2760680	2752974	2747533	2632790	2430081	37	523731	2761988	140454	76533	7	13	0.51
SRR2053906	SRR2053906.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	642	261	126	91	37	9	3404025	3226889	2929424	2690642	1763190	749269	375	151850	3303827	28358	14657	33	74	24.67
SRR2053907	SRR2053907.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	43	38	36	33	26	19	2859313	2857028	2853700	2838015	2722828	2477688	39	421815	2857757	158384	60154	6	14	0.70
SRR2053908	SRR2053908.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	31	28	25	24	18	16	2796234	2794466	2789740	2784299	2672173	2598008	30	378875	2795888	180196	124929	6	10	0.46
SRR2053910	SRR2053910.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	28	25	24	23	21	15	2705754	2704390	2701380	2695939	2650445	2431739	26	366702	2704925	190812	102404	5	11	0.18
SRR2053911	SRR2053911.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	63	36	32	29	24	18	2900191	2888606	2875422	2858174	2767815	2566948	43	539528	2893011	150858	71636	6	12	0.55
SRR2053913	SRR2053913.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	34	32	28	26	21	2754808	2752811	2747097	2723317	2677479	2494551	36	332975	2754122	126714	89696	8	14	0.84
SRR2053914	SRR2053914.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	9860	809	215	76	9	0	5340085	3546722	2251435	1295274	304675	0	1475	45837	4004477	5927	2291	170	436	67.92
SRR2053915	SRR2053915.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	97	31	28	27	24	17	2740752	2711810	2705615	2700174	2634275	2381282	47	352294	2721839	134715	86178	6	13	0.33
SRR2053916	SRR2053916.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	41	40	32	31	27	20	2781940	2781081	2762397	2756956	2700817	2424477	41	415166	2781940	125502	58157	7	14	0.54
SRR2053918	SRR2053918.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	33	31	29	25	19	2762681	2759323	2751257	2738978	2672521	2469335	37	638146	2762335	150297	67975	6	13	0.51
SRR2053919	SRR2053919.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	34	32	29	27	24	15	2822159	2821026	2812047	2797943	2763400	2417675	33	587123	2821813	170654	86352	5	11	0.60
SRR2053921	SRR2053921.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	13738	2948	742	242	82	36	18137902	16073469	10793984	7361610	5090797	3392539	3822	265446	16702189	8030	3496	353	1158	0.62
SRR2053922	SRR2053922.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	35	31	27	25	22	17	2764139	2762080	2752686	2739303	2682505	2509035	33	631663	2763441	150743	93588	5	11	0.51
SRR2053924	SRR2053924.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	19	17	15	14	11	8	2746842	2746132	2742328	2736943	2681382	2562871	17	851672	2746132	547680	182116	2	5	0.58
SRR2053925	SRR2053925.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	19	16	15	14	13	10	2793677	2792548	2791496	2786042	2765817	2667404	16	1027487	2792548	468958	170332	2	5	0.61
SRR2053927	SRR2053927.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	23	21	21	20	18	13	2760678	2759482	2759482	2754025	2718600	2537630	22	481706	2760341	318757	115753	4	8	0.87
SRR2053930	SRR2053930.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	28	25	25	24	19	15	2706410	2704916	2704916	2699453	2593076	2429735	26	382654	2705736	204498	83983	5	10	0.55
SRR2053933	SRR2053933.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	175	48	22	21	19	11	2883459	2811594	2767360	2761899	2719884	2409940	118	447260	2861336	335522	104693	4	8	0.70
SRR2053934	SRR2053934.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	22	15	12	11	10	9	2774387	2770679	2760922	2755458	2734713	2693142	18	1062130	2772917	418957	290442	2	4	0.40
SRR2053940	SRR2053940.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	21	20	16	15	11	9	2801241	2800382	2788766	2783295	2710041	2630439	21	1167249	2801241	604751	161412	2	4	0.64
SRR2053943	SRR2053943.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	20	19	19	18	16	11	2757145	2756286	2756286	2750830	2710743	2522331	20	802909	2757145	276542	152718	3	7	0.54
SRR2053944	SRR2053944.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	27	19	17	16	15	12	2676132	2672942	2668456	2663005	2645002	2526069	20	747675	2673801	314097	134290	3	7	0.67
SRR2053945	SRR2053945.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	42	30	29	27	23	17	2808704	2803459	2802269	2791585	2705227	2521475	33	550695	2805499	174806	76778	5	11	0.61
SRR2053946	SRR2053946.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	10	9	9	8	7	5	2716486	2715627	2715627	2710166	2687885	2616821	10	1294702	2716486	973943	973943	2	2	0.37
SRR2053947	SRR2053947.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	30	29	26	23	16	2770293	2767852	2763929	2742717	2687400	2455684	33	432564	2770293	197412	80452	5	10	0.54
SRR2053948	SRR2053948.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	14	12	10	9	8	6	2718340	2717555	2713532	2708076	2685804	2598795	12	1858178	2717555	1858178	229790	1	2	0.33
SRR2053952	SRR2053952.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	33	31	27	26	24	16	2788890	2788006	2779256	2773871	2729659	2409591	32	482583	2788544	139125	82696	6	12	0.79
SRR2053955	SRR2053955.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	36	32	28	26	22	18	2819781	2817649	2806713	2796088	2722912	2564724	34	354031	2818970	171168	95931	6	12	0.89
SRR2053958	SRR2053958.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	24	20	19	18	15	11	2712463	2710898	2709672	2704197	2643168	2499518	21	570549	2711464	249745	143569	4	7	0.55
SRR2053959	SRR2053959.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	35	32	30	26	20	2729427	2728138	2721621	2707852	2638934	2438797	36	320958	2728676	126858	75562	8	14	1.03
SRR2053960	SRR2053960.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	22	13	10	9	8	6	2745736	2742285	2736025	2730640	2713226	2624412	14	976925	2742965	804934	500554	2	3	0.44
SRR2053961	SRR2053961.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	22	21	20	19	17	12	2670705	2669846	2666837	2661372	2615886	2452731	22	571134	2670705	249943	133357	4	7	0.56
SRR2053962	SRR2053962.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	14	13	13	12	11	10	2764715	2764354	2764354	2758890	2738074	2700033	13	954748	2764354	288615	253105	3	5	0.36
SRR2053963	SRR2053963.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	20	18	15	13	12	10	2751695	2750567	2744771	2731236	2710482	2650094	19	527169	2751280	303187	253739	4	6	0.76
SRR2053964	SRR2053964.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	17	16	15	14	13	10	2793494	2792979	2790536	2785070	2764818	2676267	17	1021338	2793494	468880	144984	2	6	0.61
SRR2053967	SRR2053967.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	41	32	31	28	25	18	2773748	2769557	2766897	2747905	2690670	2458005	36	432577	2771950	132261	76233	5	12	0.40
SRR2053968	SRR2053968.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	13	10	9	8	8	5	2751917	2749869	2746247	2740780	2740780	2622709	12	1469896	2751571	1469896	873443	1	2	0.18
SRR2053970	SRR2053970.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	41	37	34	32	28	17	2727716	2725779	2716480	2703898	2633226	2260518	38	503973	2726473	125916	73541	7	14	0.62
SRR2053971	SRR2053971.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	32	30	30	27	23	16	2766935	2766129	2766129	2746480	2674769	2415247	30	353814	2766129	166772	100042	6	11	0.43
SRR2053972	SRR2053972.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	13	11	10	9	9	5	2752881	2752172	2748552	2743082	2743082	2591153	11	1288747	2752172	873242	873242	2	2	0.44
SRR2053973	SRR2053973.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	39	33	28	26	23	18	2822219	2818657	2807381	2794873	2741120	2541454	36	336389	2820937	156456	84149	6	12	0.85
SRR2053975	SRR2053975.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	29	27	26	23	20	16	2791551	2790902	2789832	2771611	2709925	2562425	27	402580	2790902	197312	138846	6	10	0.29
SRR2053976	SRR2053976.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	19	15	15	13	12	10	2762792	2761259	2761259	2746199	2725379	2649312	15	954600	2761259	498375	245899	2	5	0.43
SRR2053978	SRR2053978.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	38	28	25	23	20	16	2753445	2749896	2743274	2732511	2671860	2519997	28	450959	2749896	206862	98134	5	10	0.55
SRR2053979	SRR2053979.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	40	37	33	32	27	20	2728069	2727033	2717704	2712319	2622325	2409059	37	503882	2727033	105665	77123	8	15	0.55
SRR2053983	SRR2053983.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	27	23	20	19	15	13	2802227	2799874	2792429	2786962	2711630	2631110	25	975765	2801593	192048	124419	3	7	0.57
SRR2053985	SRR2053985.spades.improved.quast.csv-scaffolds.scaffolded.gapfilled.length_filtered.sorted	19	19	19	18	16	15	2711893	2711893	2711893	2706423	2661322	2631228	19	571775	2711893	250028	130171	4	8	0.63
