submodule	subsystem	reaction_id	enzyme_name	locus_tag	gene_gff	product_gff	start_gff	end_gff	submodule_cds_length
Pyruvate Metabolism	Energy Production and Conversion	ACALD;ACKr;ACYP_2;ALCD2;LDH_D;LDH_L;ME1_rev;PFL;PTAr	acetaldehyde dehydrogenase (acetylating);acetate kinase;acylphosphatase (2);Ethanol NAD oxidoreductase ;D-lactate dehydrogenase;L-lactate dehydrogenase;malic enzyme;pyruvate formate lyase;phosphotransacetylase	B7H15_00295;B7H15_00850;B7H15_01205;B7H15_01210;B7H15_01295;B7H15_03210;B7H15_03360;B7H15_07400;B7H15_09270;B7H15_09320;B7H15_13145;B7H15_14035;B7H15_14455	-;-;-;-;-;-;-;-;-;-;-;-;-	alcohol dehydrogenase;bifunctional acetaldehyde-CoA/alcohol dehydrogenase;formate acetyltransferase;pyruvate formate-lyase-activating enzyme;L-lactate dehydrogenase;phosphate acetyltransferase;zinc-dependent alcohol dehydrogenase;acylphosphatase;NAD-dependent malic enzyme;acetate kinase;oxidoreductase;lactate dehydrogenase;L-lactate dehydrogenase	63497;171431;260803;263075;283151;650324;673519;1441620;1811303;1823863;2492349;2660506;2738804	64625;174041;263053;263831;284105;651311;674530;1441890;1812533;1825066;2493396;2661499;2739764	15412
Pyruvate Metabolism;Respiration	Energy Production and Conversion	L-LACD3	Lactate-quinone oxidoreductase	B7H15_14485	-	malate:quinone oxidoreductase	2745196	2746693	1498
Queuosine pathway	Amino Acid Metabolism	CCGS;CDGR;CDGS;CPH4S;EPOXQR;GTRNA;TRNAGTG;TRNARI	7-cyano-7-carbaguanine synthase;7-cyano-7-deazaguanine reductase;7-deaza-7-carboxyguanine synthase;6-carboxy-5,6,7,8-tetrahydropterin synthase;epoxyqueuosine reductase;;tRNA-guanine transglycosylase;tRNA preQ134 S-adenosylmethionine ribosyltransferase-isomerase	B7H15_03955;B7H15_03960;B7H15_03965;B7H15_04065;B7H15_08965;B7H15_08970;B7H15_10195	-;-;-;-;-;-;-	7-carboxy-7-deazaguanine synthase QueE;6-carboxytetrahydropterin synthase QueD;7-cyano-7-deazaguanine synthase QueC;NADPH-dependent 7-cyano-7-deazaguanine reductase QueF;tRNA guanosine(34) transglycosylase Tgt;tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA;epoxyqueuosine reductase	785006;785723;786144;806472;1750940;1752102;1990062	785720;786143;786813;806973;1752080;1753128;1991205	5620
Redox	Amino Acid Metabolism;Carbohydrate Metabolism;Cofactor and Prosthetic Group Metabolism;Energy Production and Conversion	BS;BST;CAT;CO23OC;COADSR;COADSR2;GLCNACAMS;GLCNMS;GLULOD;GLYOX;GSHN;GSNOR;GTHPi;LGTHL;METSOXR1;PMTSS;SPODM;THIORDXi;TRDR	bacillithiol synthase;bacillithiol-S-transferase;catalase;Catechol oxygen 2 3-oxidoreductasedecyclizing ;Coenzyme A disulfide reductase;Coenzyme A disulfide reductase;N-acetyl-alpha-D-glucosaminyl L-malate synthase;D-glucosaminyl L-malate synthase;L-Glutamate ferredoxin oxidoreductase transaminating ;hydroxyacylglutathione hydrolase;Glutathione nitrosylation (spontaneous);S-nitrosoglutathione nitroreductase;Glutathione peridoxase;Lactoylglutathione lyase;L-methionine-S-oxide reductase;peptide-methionine thioredoxin-disulfide S-oxidoreductase ;superoxide dismutase;hydrogen peroxide reductase (thioredoxin);thioredoxin reductase (NADPH)	B7H15_00745;B7H15_03010;B7H15_03100;B7H15_04285;B7H15_04525;B7H15_05010;B7H15_05625;B7H15_05950;B7H15_06140;B7H15_06800;B7H15_07015;B7H15_07175;B7H15_07510;B7H15_07515;B7H15_07690;B7H15_07810;B7H15_08530;B7H15_12935;B7H15_13685;B7H15_14025;B7H15_14105;B7H15_14585;B7H15_14805	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	Superoxide dismutase [Mn/Fe] 2;Molecular chaperone Hsp31 and glyoxalase 3;bacillithiol biosynthesis deacetylase BshB2;thioredoxin-disulfide reductase;nitroreductase;CoA-disulfide reductase;NrdH-redoxin;thiol reductase thioredoxin;bacillithiol biosynthesis cysteine-adding enzyme BshC;glutathione peroxidase;catalase;peptide-methionine (S)-S-oxide reductase;peptide-methionine (R)-S-oxide reductase;peptide-methionine (S)-S-oxide reductase;N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA;hypothetical protein;superoxide dismutase;metallothiol transferase FosB;FMN-binding glutamate synthase family protein;glyoxalase;thiol reductase thioredoxin;glutathione peroxidase;methionine sulfoxide reductase A	154426;607035;632783;848116;889416;972481;1095356;1156935;1185171;1333950;1364882;1399064;1463721;1464142;1531069;1550563;1665464;2453521;2589523;2658639;2672186;2765374;2822776	155026;607914;633449;849052;889956;973798;1095590;1157250;1186785;1334427;1366400;1399574;1464150;1464676;1532212;1551550;1666064;2453941;2591101;2659446;2672531;2765872;2823253	17438
Respiration	Energy Production and Conversion;Transport	ACONTa;ACONTb;AKGDH;ATPS4r;CITL;CS;CYTBD;FADH2D;FUM;ICITRED;MDH3;NADH_2;NAt3_1;NAt3_2;NO3R2;OSUCCL;SUCD2;SUCOAS	aconitase (half-reaction A, Citrate hydro-lyase);aconitase (half-reaction B, Isocitrate hydro-lyase);2-Oxoglutarate dehydrogenase;ATP synthase (four protons for one ATP);Citrate lyase;citrate synthase;Cytochrome oxidase bd (menaquinol-7: 2 protons);FADH2 dehydrogenase (menaquinone 7 as acceptor);fumarase;Isocitrate:NADP+ oxidoreductase (decarboxylating);Malate dehydrogenase (menaquinone 7 as acceptor);NADH:menaquinone oxidoreductase;Sodium proton antiporter (H:NA is 1:1);Sodium proton antiporter (H:NA is 2);Nitrate reductase (Menaquinol-8);Oxalosuccinate carboxy-lyase (2-oxoglutarate-forming);Succinate dehydrogenase dehydrogenase (menaquinone 8 as acceptor);succinyl-CoA synthetase (ADP-forming)	B7H15_00680;B7H15_02370;B7H15_02375;B7H15_02380;B7H15_04840;B7H15_04855;B7H15_04880;B7H15_04885;B7H15_04890;B7H15_04895;B7H15_04900;B7H15_04905;B7H15_04910;B7H15_05475;B7H15_05480;B7H15_05485;B7H15_05490;B7H15_05630;B7H15_05635;B7H15_05795;B7H15_05965;B7H15_05970;B7H15_05975;B7H15_06485;B7H15_06490;B7H15_07105;B7H15_07445;B7H15_07450;B7H15_09230;B7H15_09235;B7H15_09705;B7H15_10160;B7H15_11680;B7H15_11685;B7H15_11690;B7H15_11695;B7H15_11700;B7H15_11705;B7H15_11710;B7H15_11715;B7H15_11720;B7H15_13120;B7H15_13270;B7H15_13275;B7H15_13280;B7H15_13285;B7H15_13295;B7H15_13300	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	siderophore biosynthesis protein SbnG;NADH-quinone oxidoreductase subunit L;hypothetical protein;hypothetical protein;FAD-dependent oxidoreductase;NADH dehydrogenase;Na+/H+ antiporter subunit G;Na+/H+ antiporter subunit F;Na+/H+ antiporter subunit E;Na+/H+ antiporter subunit D;Na(+)/H(+) antiporter subunit C;Na+/H+ antiporter subunit B;Na+/H+ antiporter subunit A;quinol oxidase subunit 4;quinol oxidase subunit 3;cytochrome ubiquinol oxidase subunit I;quinol oxidase subunit 2;cytochrome ubiquinol oxidase subunit I;cytochrome D ubiquinol oxidase subunit II;hypothetical protein;succinate dehydrogenase;succinate dehydrogenase flavoprotein subunit;succinate dehydrogenase iron-sulfur subunit;succinyl-CoA ligase subunit beta;succinyl-CoA ligase subunit alpha;aconitate hydratase;dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex;2-oxoglutarate dehydrogenase E1 component;isocitrate dehydrogenase (NADP(+));citrate synthase;CPBP family intramembrane metalloprotease;class II fumarate hydratase;ATP synthase epsilon chain;ATP synthase subunit beta;ATP synthase subunit gamma;ATP synthase subunit alpha;ATP synthase subunit delta;ATP synthase subunit B;ATP synthase subunit C;ATP synthase subunit A;hypothetical protein;malate:quinone oxidoreductase;respiratory nitrate reductase subunit gamma;nitrate reductase molybdenum cofactor assembly chaperone;nitrate reductase subunit beta;nitrate reductase subunit alpha;nitrite reductase (NAD(P)H) small subunit;nitrite reductase large subunit	143159;477801;479298;482165;934380;936823;943216;943550;943843;944324;945813;946154;946575;1067607;1067894;1068489;1070477;1095787;1097145;1129699;1159678;1160344;1162110;1261717;1262905;1382016;1450779;1452061;1799819;1801136;1908083;1985899;2221850;2222274;2223708;2224605;2226135;2226674;2227393;2227648;2228397;2485142;2515093;2515763;2516331;2517880;2522846;2523164	143936;479286;482004;482528;935445;938032;943573;943844;944323;945821;946143;946583;948981;1067898;1068500;1070478;1071578;1097149;1098165;1130161;1160293;1162111;1162926;1262884;1263814;1384722;1452048;1454860;1801088;1802258;1908719;1987285;2222255;2223687;2224575;2226114;2226675;2227196;2227606;2228377;2228850;2486621;2515771;2516354;2517891;2521570;2523161;2525570	53991
Respiration;Respiration	Energy Production and Conversion	POX3	Pyruvate:menaquinone oxidoreductase	B7H15_14120	-	pyruvate oxidase	2675729	2677469	1741
Riboflavin biosynthesis	Cofactor and Prosthetic Group Biosynthesis;Cofactor and Prosthetic Group Metabolism;Exchange;Transport	APRAUR;DB4PS;DHPPDA;EX_ribflv_e;FLDO;FLVR;FLVRx;FMNAT;FMNRx;GTPCII;PMDPHT;RBFK;RBFSa;RBFSb;RIBFLVt2	5-amino-6-(5-phosphoribosylamino)uracil reductase;3,4-Dihydroxy-2-butanone-4-phosphate synthase;diaminohydroxyphosphoribosylaminopyrimidine deaminase;Riboflavin exchange;NAD(P)H-flavin oxidoreductase;flavin reductase;flavin reductase (NAD);FMN adenylyltransferase;FMN reductase;GTP cyclohydrolase II;pyrimidine phosphatase;riboflavin kinase;riboflavin synthase;riboflavin synthase;Riboflavin transport in via proton symport	B7H15_01775;B7H15_01870;B7H15_03060;B7H15_04930;B7H15_06635;B7H15_07840;B7H15_09640;B7H15_09645;B7H15_09650;B7H15_09655;B7H15_14030	-;-;-;-;-;-;-;-;-;-;-	NADH-dependent flavin oxidoreductase;NAD(P)H-dependent oxidoreductase;FMN-dependent NADH-azoreductase;NADH-dependent flavin oxidoreductase;bifunctional riboflavin kinase/FMN adenylyltransferase;riboflavin transporter RibU;6,7-dimethyl-8-ribityllumazine synthase;riboflavin biosynthesis protein RibBA;riboflavin synthase;riboflavin biosynthesis protein RibD;NAD(P)H-dependent oxidoreductase	375853;393340;616195;951306;1295221;1556348;1896607;1897084;1898276;1898915;2659565	377053;393907;616762;952434;1296193;1556894;1897072;1898266;1898909;1899947;2660237	8975
Satphyloferrin B biosynthesis	Cofactor and Prosthetic Group Metabolism	CITDAPPD;CITDAPPS;DAPADHL;LDPCDES;NACGS;STFRNS	Citryl-L2,3-diamino-propionic acid decarboxylase;Citryl-L2,3-diamino-propionic acid Synthase;DAPAS; L-2,3-diaminopropionyl-citryl-diaminoethane Synthase;N-(1-amino-1-carboxy-2-ethyl)-glutamic acid Synthase;Staphyloferrin B Synthase	B7H15_00650;B7H15_00655;B7H15_00660;B7H15_00670;B7H15_00675;B7H15_00685	-;-;-;-;-;-	siderophore biosynthesis protein SbnA;2,3-diaminopropionate biosynthesis protein SbnB;siderophore biosynthesis protein SbnC;siderophore biosynthesis protein SbnE;siderophore biosynthesis protein SbnF;diaminopimelate decarboxylase	134688;135665;136696;139689;141334;143935	135669;136676;138451;141426;143185;145138	8446
Serine, cysteine, glycine and methionine biosynthesis	Amino Acid Metabolism	ACSERHS;AHCYSNS;ALDD31;CYSDS;CYSGL;CYSS;CYSTL;GHMT2;GHMT2r;GLYAT;HCYSMT;LTHRK;METAT;METS;PGCDr;PSERT;PSP_L;RHCCE;SERAT;SRK;THRD	O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide);S-adenosylhomocysteine nucleosidase;Aminoacetaldehyde oxidation;Cysteine Desulfhydrase;Cystathionine gamma-lyase;cysteine synthase;cystathionine b-lyase;glycine hydroxymethyltransferase;glycine hydroxymethyltransferase, reversible;glycine C-acetyltransferase;homocysteine S-methyltransferase;Threonine kinase;methionine adenosyltransferase;methionine synthase;phosphoglycerate dehydrogenase reversible;phosphoserine transaminase;phosphoserine phosphatase (L-serine);S-ribosylhomocysteine cleavage enzyme;serine O-acetyltransferase;Serine kinase;L-threonine dehydrogenase	B7H15_01955;B7H15_01960;B7H15_01965;B7H15_02410;B7H15_02415;B7H15_02725;B7H15_02895;B7H15_03005;B7H15_03020;B7H15_06355;B7H15_08760;B7H15_09385;B7H15_09390;B7H15_09400;B7H15_09745;B7H15_11735;B7H15_11785;B7H15_11845	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase;bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase;cystathionine gamma-synthase;cysteine synthase;cystathionine gamma-synthase;cysteine synthase A;serine acetyltransferase;glycine C-acetyltransferase;UDP-glucose 4-epimerase;serine/threonine protein kinase;5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase;aminotransferase class V;D-3-phosphoglycerate dehydrogenase;HAD family hydrolase;S-adenosylmethionine synthase;serine hydroxymethyltransferase;aldehyde dehydrogenase family protein;S-ribosylhomocysteine lyase	408292;410517;412327;486665;487563;551064;582503;605582;609924;1233034;1708224;1835103;1836250;1838004;1915565;2230725;2238948;2253033	410521;412359;413488;487580;488706;551997;583151;606770;610890;1235029;1708911;1836264;1837855;1839135;1916759;2231964;2240376;2253504	21883
Spermidine catabolism	Amino Acid Metabolism;Carbohydrate Metabolism;Transport	AABTN;ABTA;ABUTD;ABUTDy;APRTO2;NABTNO;POLYAO;SPMDAT1;SPMDAT2;SPMDabc;SSALy	4-acetamidobutyrate deacetylase;4-aminobutyrate transaminase;Aminobutyraldehyde dehydrogenase;4-Aminobutyraldehyde NAD oxidoreductase ;N-acetylputrescine: oxygen oxireductase (deaminating);N4-Acetylaminobutanal:NAD+ oxidoreductase;polyamine oxidase;Spermidine acetyltransferase;Spermidine acetyltransferase (N8);Spermidine transport via ABC system;succinate-semialdehyde dehydrogenase (NADP)	B7H15_00290;B7H15_05705;B7H15_05710;B7H15_05715;B7H15_05720;B7H15_11785;B7H15_14470	-;-;-;-;-;-;-	spermidine acetyltransferase;spermidine/putrescine import ATP-binding protein PotA;spermidine/putrescine ABC transporter permease;spermidine/putrescine ABC transporter permease;spermidine/putrescine ABC transporter substrate-binding protein;aldehyde dehydrogenase family protein;aspartate aminotransferase family protein	62502;1109442;1110529;1111332;1112141;2238948;2741979	63000;1110537;1111327;1112142;1113215;2240376;2743317	7037
Staphyloferrin A biosynthesis	Inorganic Ion Transport and Metabolism	STAS	Staphyloferrin A synthase	B7H15_12130;B7H15_12140	-;-	siderophore synthetase;IucA/IucC family siderophore biosynthesis protein	2313271;2316310	2315029;2318287	3737
Staphylopine biosynthesis: Zinc acquisition	Cofactor and Prosthetic Group Metabolism	HISDAMET;HISR;XNAC	D-histidine Aminobutyril acid transfer;L-Histidine epimerization;xNA condensation	B7H15_13725;B7H15_13730;B7H15_13735	-;-;-	hypothetical protein;SAM-dependent methyltransferase;diaminopimelate epimerase	2598582;2599876;2600705	2599884;2600695;2601527	2937
Staphyloxanthin Biosynthesis	Inorganic Ion Transport and Metabolism	DHSQDS;DHSQDS2;DHSQDS3;DHSQS;DPNSPAD;DPNSPAT;DPNSPGT;DPNSPO;FDFP	Dehydrosqualene desaturase;Dehydrosqualene desaturase 2;Dehydrosqualene desaturase 2;Dehydrosqualene synthase;4,4'-diaponeurosporen-aldehyde dehydrogenase;glycosyl-4,4'-diaponeurosporenoate acyltransferase;4,4'-diaponeurosporenoate glycosyltransferase;Diaponeurosporene oxidase;Farnesyl-diphosphate farnesyl-diphosphate farnesyltransferase 	B7H15_10720;B7H15_14250;B7H15_14255;B7H15_14260;B7H15_14265;B7H15_14270	-;-;-;-;-;-	aldehyde dehydrogenase;dehydrosqualene desaturase;dehydrosqualene synthase;4,4'-diaponeurosporenoate glycosyltransferase;diapolycopene oxygenase;glycosyl-4,4'-diaponeurosporenoate acyltransferase	2069245;2703225;2704745;2705645;2706778;2708264	2070625;2704734;2705609;2706773;2708272;2708753	6861
Straight chain fatty acid metabolism	Lipid Metabolism	3HACPH;3HAD100;3HAD120;3HAD140;3HAD160;3HAD200;3HAD60;3HAD80;3HAOR;3HOXTPP;3OAR100;3OAR120;3OAR140;3OAR160;3OAR200;3OAR60;3OAR80;3OAS100;3OAS120;3OAS140;3OAS160;3OAS200;3OAS60;3OAS80;3OXDAM;ACCO2L;ACOATA;EAR100x;EAR120x;EAR140x;EAR200x;EAR40x;EAR60x;EAR80x;HEDMC;KAS14;KAS15;MCOATA;TRO2EAO;TRO2EHL	3R-3-Hydroxybutanoyl-acyl-carrier-protein hydro-lyase ;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0);3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0);3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0);3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0);3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C20:0);3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0);3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0);3-Hydroxyoctodecanoyl-ACP NADP oxidoreductase ;3R-3-Hydroxybutanoyl-acyl-carrier protein NADP oxidoreductase ;3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0);3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0);3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0);3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0);3-Hydroxydodecanoyl-ACP NADP oxidoreductase ;3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0);3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0);3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0);3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0);3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0);3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0);3-oxoacyl-[acyl-carrier-protein] synthase (n-C20:0);3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0);3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0);3-Oxooctodecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating ;Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha;Acetyl-CoA ACP transacylase;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0);enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0);enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0);enoyl-[acyl-carrier-protein] reductase (NADH) (n-C20-:0);enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0);enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0);enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0);Hexadecanoyl-acyl-carrier protein malonyl-CoA ;beta-ketoacyl-ACP synthase;beta-ketoacyl-ACP synthase (2);Malonyl-CoA-ACP transacylase;trans-Octodec-2-enoyl-ACP NAD oxidoreductase A-specific ;trans-Octodec-2-enoyl-ACP hydro-lyase 	B7H15_05070;B7H15_05075;B7H15_05210;B7H15_06405;B7H15_06410;B7H15_08395;B7H15_08400;B7H15_08795;B7H15_09260;B7H15_09265;B7H15_11660	-;-;-;-;-;-;-;-;-;-;-	3-oxoacyl-ACP synthase III;beta-ketoacyl-[acyl-carrier-protein] synthase II;enoyl-ACP reductase;malonyl CoA-ACP transacylase;beta-ketoacyl-ACP reductase;acetyl-CoA carboxylase biotin carboxylase subunit;acetyl-CoA carboxylase biotin carboxyl carrier protein subunit;acetyl-CoA carboxylase biotin carboxyl carrier protein subunit;acetyl-CoA carboxylase carboxyl transferase subunit alpha;acetyl-CoA carboxylase carboxyl transferase subunit beta;beta-hydroxyacyl-ACP dehydratase	986168;987121;1015053;1244480;1245399;1643653;1645008;1715739;1809307;1810251;2219205	987110;988366;1015824;1245407;1246134;1645009;1645473;1716189;1810252;1811109;2219646	9133
Sulfur Metabolism	Amino Acid Metabolism;Exchange;Transport	ADSK;BPNT;EX_so4_e;PAPSR;SADT2;SO4t2;SULR	adenylyl-sulfate kinase;3',5'-bisphosphate nucleotidase;Sulfate exchange;phosphoadenylyl-sulfate reductase (thioredoxin);Sulfate adenyltransferase;Sulfate transport in via proton symport;sulfite reductase (NADPH2)	B7H15_02995;B7H15_14575;B7H15_14820	-;-;-	elongation factor Tu;sulfite reductase [NADPH] flavoprotein, alpha-component;capsular biosynthesis protein	602770;2763099;2824754	603955;2764980;2825447	3762
Thiamine Metabolism	Cofactor and Prosthetic Group Metabolism;Exchange;Transport	AMPAH;AMPD;DXPS;EX_4ahmmp_e;EX_thm_e;HETZK;HMPK1;HMPPtr;PMPK;PMPS;THMPP;THMabc;THPPP;TMDPK;TMPPP	Aminopyrimidine aminohydrolase;Aminopyrimidine deaminase;1-deoxy-D-xylulose 5-phosphate synthase;;Thiamin exchange;hydroxyethylthiazole kinase;hydroxymethylpyrimidine kinase (ATP);Hydroxymethl pyrimidine phosphate ABC transport;phosphomethylpyrimidine kinase;Phosphomethylpyrimidine synthase;Thiamine Monophosphate Phosphatase;Thiamin transport via ABC system;Thiamine Pyrophosphate Phosphatase;thiamine diphosphokinase;thiamine-phosphate diphosphorylase	B7H15_05570;B7H15_05575;B7H15_05580;B7H15_06360;B7H15_06370;B7H15_11625;B7H15_11630;B7H15_11635;B7H15_11640;B7H15_12335;B7H15_12340;B7H15_12345;B7H15_14930;B7H15_14935	-;-;-;-;-;-;-;-;-;-;-;-;-;-	cobalt ABC transporter permease;ABC transporter ATP-binding protein;thiamine ABC transporter permease;ribosome small subunit-dependent GTPase A;thiamine pyrophosphokinase;thiamine phosphate synthase;hydroxyethylthiazole kinase;bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase;thiaminase II;energy-coupling factor transporter protein EcfT;energy-coupling factor transporter ATPase;energy-coupling factor transporter ATPase;cobalt ABC transporter permease;heme ABC transporter ATP-binding protein	1085831;1086630;1088045;1235256;1236783;2213717;2214360;2215135;2215958;2355526;2356322;2357179;2843710;2844540	1086638;1088031;1088621;1236132;1237425;2214359;2215152;2215966;2216648;2356333;2357183;2357989;2844544;2846253	12238
